"ptrid","resultid","offsetcount","moduleid","moduleoffset","offset1","offset2","offset3","offset4","offset5","offset6","offset7"
"1","15891","7","48","64359312","392","352","136","1976","3536","32","144"
"1","15892","7","48","63048656","392","352","136","1976","3536","64","144"
"1","15893","7","48","64359312","392","352","136","1976","3536","64","144"
"1","15894","7","48","63048656","392","32","136","376","2872","32","144"
"1","15895","7","48","64359312","392","32","136","376","2872","32","144"
"1","15896","7","48","63048656","392","32","136","376","2872","64","144"
"1","15897","7","48","64359312","392","32","136","376","2872","64","144"
"1","15898","7","48","63048656","392","32","136","1176","2936","32","144"
"1","15899","7","48","64359312","392","32","136","1176","2936","32","144"
"1","15900","7","48","63048656","392","32","136","1176","2936","64","144"
"1","15901","7","48","64359312","392","32","136","1176","2936","64","144"
"1","15902","7","48","63048656","392","32","136","1976","3536","32","144"
"1","15903","7","48","64359312","392","32","136","1976","3536","32","144"
"1","15904","7","48","63048656","392","32","136","1976","3536","64","144"
"1","15905","7","48","64359312","392","32","136","1976","3536","64","144"
"1","15906","7","48","60369824","3432","24","776","120","312","368","144"
"1","15907","7","48","60369824","3432","24","776","120","760","360","144"
"1","15908","7","48","60369824","3432","24","776","120","1208","352","144"
"1","15909","7","48","60369824","3432","24","776","440","312","336","144"
"1","15910","7","48","60369824","3432","24","776","440","760","456","144"
"1","15911","7","48","60369824","3432","24","776","440","1208","448","144"
"1","15912","7","48","60369824","3432","24","776","760","312","344","144"
"1","15913","7","48","60369824","3432","24","776","760","760","336","144"
"1","15914","7","48","60369824","3432","24","776","760","1208","456","144"
"1","15915","7","48","60369824","3368","24","488","120","312","344","144"
"1","15916","7","48","60369824","3368","24","488","120","760","336","144"
"1","15917","7","48","60369824","3368","24","488","120","1208","456","144"
"1","15918","7","48","60369824","3368","24","488","440","312","448","144"
"1","15919","7","48","60369824","3368","24","488","440","760","416","144"
"1","15920","7","48","60369824","3368","24","488","440","1208","408","144"
"1","15921","7","48","60369824","3368","24","488","760","312","456","144"
"1","15922","7","48","60369824","3368","24","488","760","760","448","144"
"1","15923","7","48","60369824","3368","24","488","760","1208","416","144"
"1","15924","7","48","60369824","3336","152","488","120","312","344","144"
"1","15925","7","48","60369824","3336","152","488","120","760","336","144"
"1","15926","7","48","60369824","3336","152","488","120","1208","456","144"
"1","15927","7","48","60369824","3336","152","488","440","312","448","144"
"1","15928","7","48","60369824","3336","152","488","440","760","416","144"
"1","15929","7","48","60369824","3336","152","488","440","1208","408","144"
"1","15930","7","48","60369824","3336","152","488","760","312","456","144"
"1","15931","7","48","60369824","3336","152","488","760","760","448","144"
"1","15932","7","48","60369824","3336","152","488","760","1208","416","144"
"1","15933","7","48","60369824","3336","152","200","120","312","336","144"
"1","15934","7","48","60369824","3336","152","200","120","760","456","144"
"1","15935","7","48","60369824","3336","152","200","120","1208","448","144"
"1","15936","7","48","60369824","3336","152","200","440","312","344","144"
"1","15937","7","48","60369824","3336","152","200","440","760","336","144"
"1","15938","7","48","60369824","3336","152","200","440","1208","456","144"
"1","15939","7","48","60369824","3336","152","200","760","312","448","144"
"1","15940","7","48","60369824","3336","152","200","760","760","416","144"
"1","15941","7","48","60369824","3336","152","200","760","1208","408","144"
"1","15942","6","48","60369824","4008","376","760","312","368","144","null"
"1","15943","6","48","60369824","4008","376","760","760","360","144","null"
"1","15944","6","48","60369824","4008","376","760","1208","352","144","null"
"1","15945","7","4","30038184","392","96","184","160","16","328","144"
"1","15946","7","4","30038184","392","40","80","16","200","328","144"
"1","15947","7","4","30038184","392","96","184","16","328","2136","144"
"1","15948","7","4","30038184","392","40","80","16","328","2464","144"
"1","15949","7","4","30038184","392","40","80","16","328","3608","144"
"1","15950","7","4","30038184","392","96","184","16","328","3920","144"
"1","15951","7","48","60166136","392","40","0","184","64","40","144"
"1","15952","7","48","60166136","392","40","0","184","64","128","144"
